genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments,
Zmiz1,2,"Gm47920, Gm47921",,keep as is,,,
March2,1,Hnrnpm,,keep as is,,Downstream gene fixed.,
March6,1,Gm49216,,keep as is,,,
Sept2,1,Sept2,,keep as is,,Two gene_ids ascribed to a single gene,
Sept2,1,Sept2,,transcripts deleted,"Sept2-214, Sept2-215, Sept2-216",,
Sept5,1,Gp1bb,,readthrough transcripts deleted,Sept5-205,Special case,
0610009E02Rik,1,Gm13568,,keep as is,,,
0610031O16Rik,1,4930579F01Rik,,keep as is,,,
1110002L01Rik,1,Gm48512,,keep as is,,overlap marginal,
1110028F11Rik,1,Rnf43,,keep as is,,Nested gene,
1300002E11Rik,1,Map3k13,,keep as is,,Downstream gene fixed,
1500002F19Rik,1,Fgfr2,,keep as is,,,
1600002D24Rik,1,2810404F17Rik,,keep as is,,Contains nested genes,
1600012P17Rik,1,Pappa2,,keep as is,,,
1700006F04Rik,1,Hs6st3,,keep as is,,Nested gene,
1700007M16Rik,1,Gm14266,,keep as is,,Nested gene,
1700012C08Rik,1,Armh1,,Delete,,Exon overlaps with protein coding gene's exon,
1700012D16Rik,1,St6galnac3,,keep as is,,,
1700015C17Rik,1,St6galnac3,,keep as is,,,
1700017L05Rik,1,Gm34728,,keep as is,,,
1700020D05Rik,1,Snx32,,keep as is,,Nested gene,
1700023F06Rik,1,Spata32,,keep as is,,marginal overlap,
1700028N14Rik,1,Map3k14,,keep as is,,Exon overlaps with coding gene exons.,
1700037C06Rik,1,Gm13001,,keep as is,,,
1700040E09Rik,1,Gm48664,,keep as is,,,
1700044C05Rik,1,Gm26791,,keep as is,,Single transcript,
1700047E10Rik,1,4930503E14Rik,,keep as is,,Downstream gene fixed,
1700063O14Rik,1,Gm28271,,keep as is,,Nested gene,
1700065L07Rik,1,4931417E11Rik,,keep as is,,,
1700066O22Rik,1,4930511M06Rik,,keep as is,,,
1700086D15Rik,1,Arhgap44,,keep as is,,,
1700092C02Rik,1,4933431K23Rik,,keep as is,,,
1700094D03Rik,1,4933434E20Rik,,keep as is,,,
1700097N02Rik,1,Glo1,,keep as is,,Exon overlaps,
1700110I07Rik,1,Gm44839,,keep as is,,,
1700116H05Rik,1,Gm31615,,keep as is,,,
1700120O09Rik,1,4930438E09Rik,,keep as is,,Single transcript,
1700122D07Rik,1,Gm28411,,keep as is,,,
1700123O12Rik,1,Gm11815,,keep as is,,,
1700123O21Rik,1,Rbfox1,,keep as is,,Nested gene,
1700126H18Rik,1,Rbm47,,keep as is,,,
1700129L04Rik,1,Nell2,,keep as is,,,
1810009A15Rik,1,Lbhd1,,Delete,,"Refseq doesn't agree, but otherwise wouldn't see named gene.",
2010110G14Rik,1,Gm43349,,keep as is,,,
2310057M21Rik,1,Fgfr2,,keep as is,,,
2410124H12Rik,1,Clic6,,keep as is,,Downstream gene fixed,
2600002D14Rik,1,Iqcb1,,keep as is,,,
2610037D02Rik,1,4833422M21Rik,,keep as is,,,
2810404F17Rik,1,1600002D24Rik,,keep as is,,Nested gene,
2810442N19Rik,1,Gm38304,,keep as is,,,
2900042K21Rik,1,Kcnk2,,keep as is,,,
2900072N19Rik,1,Gm13780,,keep as is,,,
3110001I22Rik,1,Bfar,,keep as is,,Special case,
3830408C21Rik,1,Gm48684,,keep as is,,,
4632404M16Rik,1,Casq2,,keep as is,,,
4833422M21Rik,1,2610037D02Rik,,keep as is,,,
4930402H24Rik,1,A730017L22Rik,,premature transcripts deleted,4930402H24Rik-214,,
4930404H11Rik,1,Gm40438,,premature transcripts deleted,4930404H11Rik-202,,
4930404K13Rik,1,Hs6st3,,keep as is,,Nested gene.,
4930405O22Rik,1,Fbxl17,,keep as is,,Nested gene,
4930425K10Rik,1,Gm21905,,keep as is,,,
4930438E09Rik,1,1700120O09Rik,,keep as is,,,
4930469K13Rik,1,Kcnip1,,readthrough transcripts deleted,4930469K13Rik-201,,
4930503B20Rik,1,Samd13,,readthrough transcripts deleted,"4930503B20Rik-201, 4930503B20Rik-202",Exon overlaps,
4930503E14Rik,1,1700047E10Rik,,premature transcripts deleted,4930503E14Rik-202,,
4930505N22Rik,1,Hps6,,keep as is,,Contains nested genes,
4930509H03Rik,1,Lrig2,,keep as is,,,
4930511M06Rik,1,1700066O22Rik,,transcripts deleted,4930511M06Rik-202,Special case,
4930515G01Rik,1,Git2,,keep as is,,Nested gene,
4930522N08Rik,1,Gm16226,,keep as is,,,
4930528D03Rik,1,Gm46419,,keep as is,,,
4930549G23Rik,1,Gm26910,,keep as is,,,
4930553J12Rik,1,Krtap15,,keep as is,,Special case. Leaving since Refseq has it as well (short verion though),
4930556G22Rik,1,4933417E11Rik,,keep as is,,,
4930558N11Rik,1,Gm45839,,keep as is,,Weird interleaved structure,
4930570N18Rik,1,Lamb3,,keep as is,,"Only one transcript, so no transcript deletions are possible.",
4930572G02Rik,1,Gm49519,,keep as is,,,
4930578G10Rik,1,Gm12395,,keep as is,,,
4930579F01Rik,1,0610031O16Rik,,premature transcripts deleted,4930579F01Rik-203,,
4930588A03Rik,1,Ppp2r2b,,keep as is,,Downstream gene fixed,
4930595L18Rik,1,Gm44196,,keep as is,,,
4930596I21Rik,1,Dennd1b,,keep as is,,Nested gene,
4930598N05Rik,1,Gm28905,,keep as is,,,
4931417E11Rik,1,1700065L07Rik,,keep as is,,,
4931440F15Rik,1,Eml6,,keep as is,,Now renamed to Fem1al,
4933402N03Rik,1,Fgfr2,,keep as is,,,
4933403O08Rik,1,Gm45194,,keep as is,,,
4933405D12Rik,1,Gm10959,,keep as is,,,
4933405O20Rik,1,Nell1,,keep as is,,Nested gene,
4933411K16Rik,1,Hoga1,,keep as is,,Nested gene,
4933413C19Rik,1,Glis3,,keep as is,,Nested gene,
4933413J09Rik,1,Slmapos2,,keep as is,,Contains nested genes,
4933415F23Rik,1,Gm29506,,keep as is,,,
4933417E11Rik,1,4930556G22Rik,,keep as is,,Single transcript only,
4933425D22Rik,1,Tex26,,keep as is,,Nested gene,
4933427D14Rik,1,Gm43951,,RENAME,,"Rename to ""4933427D14Rik_Gm43951"". All exons perfectly overlap but both are protein coding genes (from different exons). Both are protein coding and Rik gene annotated in Refseq.",
4933427E13Rik,1,Gm12069,,keep as is,,,
4933430M04Rik,1,Gm12068,,keep as is,,,
4933431K23Rik,1,1700092C02Rik,,keep as is,,,
4933433G08Rik,1,Gm33914,,keep as is,,,
5430401F13Rik,1,Gm6619,,keep as is,,Weird interleaved,
5430414B19Rik,1,Ngly1,,keep as is,,,
5830487J09Rik,1,Bcl7a,,keep as is,,Nested gene,
6030407O03Rik,1,Gm29183,,keep as is,,,
6030443J06Rik,1,Lhfpl3,,keep as is,,Special case,
6330562C20Rik,1,Anxa9,,keep as is,,overlap is marginal,
6430503K07Rik,1,Nkx2-2os,,keep as is,,Nested gene,
6530402F18Rik,1,Ntng2,,keep as is,,Interleaved and pseudogene present in Refseq,
8030451A03Rik,1,Gm11216,,keep as is,,,
9130019P16Rik,1,Gm15527,,keep as is,,,
9130401M01Rik,1,Gm29394,,keep as is,,,
9230102O04Rik,1,Gata3,,keep as is,,Downstream gene fixed,
9230111E07Rik,1,Gm14321,,keep as is,,Special case,
9230112E08Rik,1,Col20a1,,readthrough transcripts deleted,9230112E08Rik-202,,
9230116L04Rik,1,Pigh,,readthrough transcripts deleted,9230116L04Rik-203,Refseq doesn't agree but works well.,
9330111N05Rik,1,Gm49375,,keep as is,,Special case,
9530052C20Rik,1,Gm43646,,keep as is,,,
9530097N15Rik,1,Magi3,,keep as is,,,
A130010J15Rik,1,Irf6,,readthrough transcripts deleted,A130010J15Rik-203,,
A130023I24Rik,1,Adam12,,keep as is,,Nested gene,
A230001M10Rik,1,Gm43242,,keep as is,,,
A230056P14Rik,1,Gm15888,,keep as is,,,
A330040F15Rik,1,Gm47242,,keep as is,,,
A430106G13Rik,1,Gm4258,,keep as is,,Nested gene,
A530032D15Rik,1,C130026I21Rik,,keep as is,,Nested gene,
A530041M06Rik,1,Lrig2,,keep as is,,,
A530065N20Rik,1,Gm48397,,keep as is,,Contains nested genes,
A730017L22Rik,1,4930402H24Rik,,keep as is,,,
A830009L08Rik,1,Gm29540,,keep as is,,Contains nested genes,
A930023M06Rik,1,Rapgef5,,keep as is,,Absent in Refseq,
Aak1,1,Gm44091,,keep as is,,Contains nested genes,
Aars,1,Exosc6,,premrna (transcripts deleted) and (transcripts MODIFIED),"Aars-202, Aars-203, Aars-204, Aars-205, Aars-206, Aars-207",Modify Aars-201 boundary transcript end to 111055569 (Refseq coordinate),
Abhd17a,1,Gm29093,,keep as is,,Contains nested genes,
Abraxas1,1,Gm43514,,keep as is,,,
AC113595.1,1,Apobec3,,keep as is,,Eliminated in new nomenclature,
AC124742.1,1,Wdr89,,Delete,,Weird overlap with normal gene. Eliminated in new nomenclature.,
AC132307.1,1,Zfp532,,Delete,,Eliminated in new nomenclature,
AC132407.1,1,Nrg1,,Delete,,Eliminated in new nomenclature,
AC135859.1,1,Gls2,,keep as is,,Eliminated in new nomenclature,
AC139579.1,1,Pgap2,,Delete,,Eliminated in new nomenclature. Overlaps with exons from protein coding gene.,
AC140267.1,1,Mief1,,Delete,,Eliminated in new nomenclature. Overlaps with exons from protein coding gene.,
AC141477.1,1,Pcnt,,Delete,,Eliminated in new nomenclature. Overlaps with exons from protein coding gene.,
AC151602.1,1,Lhb,,readthrough transcripts deleted,"AC151602.1-201, AC151602.1-202, AC151602.1-204",Discontinued in new nomenclature and lumped with Lhb.,
AC160336.1,1,Gm5624,,Delete,,Discontinued in new nomenclature.,
AC166256.1,1,Tbpl1,,Delete,,Eliminated in new nomenclature. Overlaps with exons from protein coding gene.,
AC169382.1,1,C2cd6,,Delete,,Eliminated in new nomenclature. Overlaps with exons from protein coding gene.,
Acad9,1,Gm43079,,keep as is,,,
Acadsb,1,Gm44982,,keep as is,,,
Ackr1,1,Cadm3,,keep as is,,"Special case: ok, since no reads map to initial exons.",
Acot7,1,Gm13096,,keep as is,,Contains nested genes,
Acsl3,1,Utp14b,,keep as is,,Contains nested genes,
Actn1,1,Gm47765,,keep as is,,Contains nested genes,
Actn4,1,Gm44699,,keep as is,,Contains nested genes,
Adam12,1,A130023I24Rik,,keep as is,,Contains nested genes,
Adam1a,1,Mapkapk5,,premature transcripts deleted,Adam1a-202,Complex case,
Adam4,1,Cox16,,keep as is,,,
Adamtsl1,1,Sh3gl2,,keep as is,,upstream gene fixed,
Adora3,1,Tmigd3,,premature transcripts deleted,Adora3-202,Special case,
Agap1,1,Gm28499,,keep as is,,,
Agbl4,1,Bend5,,keep as is,,Huge gene and has nested genes,
Agrp,1,Gm5914,,premature transcripts deleted,Agrp-203,Refseq agrees better after transcript deletion.,
Agtr1a,1,Gm48161,,keep as is,,,
Ahctf1,1,Kif28,,keep as is,,No transcripts can unfortunately be deleted,
Ak6,1,Taf9,,transcripts deleted,"Ak6-202, Ak6-203, Ak6-204, Ak6-205",,
Akap9,1,Gm43031,,keep as is,,,
Aktip,1,Gm45464,,keep as is,,Contains nested genes,
AL607142.1,1,Hivep3,,keep as is,,Nested gene,
Aldh1l1,1,Gm45901,,premature transcripts deleted,Aldh1l1-202,,
Alkbh1,1,Gm29362,,keep as is,,,
Alpk3,1,Platr32,,keep as is,,,
Als2,1,Mpp4,,keep as is,,Mess because downstream gene has one transcript with early start. Refseq also confused. Could get all of that if downstream gene would be modified to exclude one transcript.,
Alx1,1,Gm17028,,keep as is,,,
Amigo3,1,Gm20529,,keep as is,,,
Ampd1,1,Gm43063,,keep as is,,,
Amy1,1,Rnpc3,,premature transcripts deleted,Amy1-205,,
Ancv1r,1,Sncaip,,keep as is,,,
Ang,1,Rnase4,,keep as is,,Intetrleaved,
Anks1,1,Gm49802,,keep as is,,,
Anks1b,1,Gm47591,,keep as is,,"Huge gene, contains nested genes.",
Anln,1,Gm48646,,keep as is,,,
Anxa9,1,6330562C20Rik,,keep as is,,,
Apobec3,1,AC113595.1,,keep as is,,,
Apoh,1,Gm11656,,premature transcripts deleted,Apoh-202,,
Apol7a,1,Gm20688,,keep as is,,Contains nested genes,
Apopt1,1,Gm15995,,keep as is,,,
Arel1,1,Gm17193,,keep as is,,Contains nested genes,
Arfip1,1,Gm37240,,keep as is,,,
Arhgap21,1,Gm13380,,keep as is,,,
Arhgap44,1,1700086D15Rik,,keep as is,,,
Arhgef4,1,Arhgef4,,keep as is,,two gene_ids correspond to a single gene,
Arhgef4,1,Arhgef4,,transcripts deleted,Arhgef4-208,This issue gets fixed in later annotations,
Arid4b,1,Gm48027,,keep as is,,Contains nested genes,
Arl8a,1,Gm15445,,keep as is,,Contains nested genes,
Armcx5,1,Gprasp1,,keep as is,,,
Armh1,1,1700012C08Rik,,keep as is,,,
Arpc3,1,Gm42829,,keep as is,,Contains nested genes,
Arpc4,1,Ttll3,,keep as is,,Downstream gene fixed.,
Arpc5l,1,Wdr38,,premature transcripts deleted,Arpc5l-204,,
Asap2,1,Gm30124,,keep as is,,,
Asb3,1,Gpr75,,premature transcripts deleted,Asb3-206,,
Asdurf,1,Asnsd1,,Delete,,Completely overlaps with Asnsd1. New nomenclature replaces with a Gm.,
Asnsd1,1,Asdurf,,keep as is,,,
Ate1,1,Fgfr2,,keep as is,,,
Atp11c,1,Gm7073,,keep as is,,Contains nested genes,
Atp2b2,1,Gm44167,,keep as is,,Contains nested genes,
Atp6v0a4,1,D630045J12Rik,,premature transcripts deleted,"Atp6v0a4-201, Atp6v0a4-203","Refseq would not approve, but works well.",
Atrip,1,Trex1,,readthrough transcripts deleted,"Atrip-202, Atrip-204, Atrip-205",,
AU015336,1,P3h2,,keep as is,,Nested gene,
AU022252,1,Tmem269,,readthrough transcripts deleted,AU022252-202,,
AU022751,1,Gm26618,,keep as is,,renamed in new nomenclature to Ezhip,
AU023070,1,Corin,,keep as is,,,
AW046200,1,Gm45359,,keep as is,,Contains nested genes,
AW209491,1,Psma2,,keep as is,,,
B130055M24Rik,1,Prr14,,readthrough transcripts deleted,B130055M24Rik-201,Present in Refseq,
B230118H07Rik,1,Rag1,,premature transcripts deleted,"B230118H07Rik-208, B230118H07Rik-209, B230118H07Rik-212",Now a named gene!,
B230216N24Rik,1,Pam,,keep as is,,Nested gene. Refseq registered.,
B3gnt4,1,Gm15751,,keep as is,,,
B4galt2,1,Ccdc24,,readthrough transcripts deleted,B4galt2-202,Ok with Refseq. Readthrough transcript.,
B930095G15Rik,1,Farp1,,keep as is,,Nested gene,
Bach2,1,Bach2it1,,keep as is,,Contains nested genes,
Bach2it1,1,Bach2,,keep as is,,,
Baz1a,1,Gm20403,,keep as is,,,
BB365896,1,Gm45060,,keep as is,,Interleaved structure,
Bbof1,1,Rnf113a2,,keep as is,,Gene model has gone through some recent changes. Contains nested genes.,
BC002189,1,Trim55,,keep as is,,Nested gene,
BC024139,1,Eppk1,,keep as is,,Special case,
BC080695,1,Gm13057,,premature transcripts deleted,BC080695-201,,
Bcar3,1,Gm40190,,premature transcripts deleted,Bcar3-202,,
Bcl7a,1,5830487J09Rik,,keep as is,,Contains nested genes,
Bend5,1,Agbl4,,keep as is,,Nested gene,
Bfar,1,3110001I22Rik,,keep as is,,Special case,
Bhlhe23,1,Gm14343,,keep as is,,,
Bicc1,1,Gm48025,,keep as is,,Contains nested genes,
Bloc1s1,1,Rdh5,,readthrough transcripts deleted,Bloc1s1-205,,
Bmp8a,1,Oxct2a,,keep as is,,Contains nested genes,
Bmp8b,1,Oxct2b,,keep as is,,Contains nested genes,
Bnipl,1,Gm128,,readthrough transcripts deleted,"Bnipl-201, Bnipl-202",,
Bola1,1,Gm15444,,premature transcripts deleted,Bola1-203,,
Borcs5,1,Gm44017,,keep as is,,Contains nested genes,
Borcs8,1,Mef2b,,keep as is,,Downstream gene fixed,
Brca2,1,Gm42531,,keep as is,,Contains nested genes,
Brf1,1,Gm47541,,keep as is,,,
Brk1,1,Gm44200,,keep as is,,Contains nested genes,
C030005K15Rik,1,Gm10754,,keep as is,,,
C030006K11Rik,1,Lrrc24,,keep as is,,Leaving since present in Refseq. Interleaved structure.,
C030013C21Rik,1,Myo1d,,keep as is,,,
C030032O16Rik,1,Magi3,,keep as is,,,
C130026I21Rik,1,A530032D15Rik,,keep as is,,,
C130026L21Rik,1,Gm42489,,keep as is,,,
C1qtnf5,1,Mfrp,,keep as is,,Downstream gene that overlaps with some transcripts of upstream gene. Same in Refseq.,
C230014O12Rik,1,Gm38389,,keep as is,,,
C230066G23Rik,1,Lrrc8c,,keep as is,,Nested gene,
C2cd2,1,Zbtb21,,premature transcripts deleted,C2cd2-207,,
C2cd6,1,AC169382.1,,keep as is,,,
C730027H18Rik,1,C730027H18Rik,,transcripts deleted,C730027H18Rik-201,,
C730027H18Rik,1,C730027H18Rik,,keep as is,,two gene_ids correspond to a single gene,
C87198,1,Gm26973,,keep as is,,,
CAAA01066123.1,1,Rps6ka4,,Delete,,Removed in latest iteration of the transcriptome,
Cadm3,1,Ackr1,,keep as is,,Ok since downstream gene doesn't have any read mapping to initial exons,
Calm4,1,Gm40655,,keep as is,,,
Capn3,1,Ganc,,premature transcripts deleted,"Capn3-207, Capn3-211",Note - the nomenclature of transcripts has changed in the newer version!!,
Capn5,1,Omp,,keep as is,,Contains nested genes.,
Capns2,1,Lpcat2,,keep as is,,Nested gene,
Casc3,1,Msl1,,premature transcripts deleted,Casc3-201,,
Catsperz,1,Kcnk4,,keep as is,,Upstream gene fixed,
Ccbe1,1,Gm50143,,keep as is,,Contains nested genes,
Ccdc103,1,Fam187a,,keep as is,,Overlap marginal,
Ccdc115,1,Gm28306,,keep as is,,,
Ccdc163,1,Tesk2,,readthrough transcripts deleted,"Ccdc163-205, Ccdc163-210",,
Ccdc171,1,Gm26968,,keep as is,,,
Ccdc47,1,Strada,,keep as is,,,
Ccdc7a,1,Gm3952,,keep as is,,,
Ccr9,1,Gm17200,,premature transcripts deleted,Ccr9-202,,
Cd247,1,Gm16565,,keep as is,,,
Cd38,1,Gm16014,,keep as is,,Contains nested genes,
Cdan1,1,Ttbk2,,premature transcripts deleted,Cdan1-207,"Refseq does not agree, but perfect fix",
Cdc14b,1,Prxl2c,,premature transcripts deleted,Cdc14b-206,,
Cdh12,1,Gm49685,,keep as is,,,
Cdh8,1,Gm15680,,keep as is,,Weird interleaved structure,
Cdk5r2,1,Gm16582,,keep as is,,Nested gene,
Cdkal1,1,Gm11364,,keep as is,,,
Cdkl5,1,Gja6,,keep as is,,Contains nested genes,
Cebpg,1,Gm44836,,keep as is,,,
Cela2a,1,Ctrc,,keep as is,,Upstream gene fixed,
Cenpb,1,Spef1,,keep as is,,,
Cep112,1,Cep112it,,keep as is,,Contains nested genes,
Cep112it,1,Cep112,,keep as is,,Nested gene,
Cep295nl,1,Timp2,,keep as is,,Nested gene,
Cep85l,1,Gm47644,,keep as is,,Contains nested genes,
Cerkl,1,Neurod1,,premature transcripts deleted,Cerkl-210,,
Cers1,1,Gdf1,,RENAME,,"Rename to ""Cers1_Gdf1"". Coding exon of Gdf1 competely overlaps with Cers1 terminal coding exon and thus would render both Cers1 and Gdf1 invisible. Deleting Gdf1 to make Cers1/Gdf1 transcriptional activity visible.",
Cfap299,1,Gm11111,,keep as is,,,
Cfap43,1,Itprip,,premature transcripts deleted,Cfap43-201,,
Cfap97,1,Gm15634,,premature transcripts deleted,Cfap97-205,Special case,
Cgrrf1,1,Gm48949,,keep as is,,Contains nested genes,
Chaf1b,1,Gm49617,,keep as is,,Contains nested genes,
Chat,1,Slc18a3,,keep as is,,Contains nested genes,
Chchd2,1,Phkg1,,keep as is,,Nested gene,
Chml,1,Opn3,,keep as is,,,
Chmp1b,1,Gnal,,keep as is,,Nested gene,
Chst15,1,Fgfr2,,keep as is,,,
Chtf8,1,Gm50241,,RENAME,,"Rename gene to ""Chtf8_Derpc"". Coding exon perfectly overlaps with Derpc/Gm50241. The previous Gm50241 has now been given a name Derpc.",
Churc1,1,Fntb,,keep as is,,Downstream gene fixed,
Cldn14,1,Gm49618,,premature transcripts deleted,Cldn14-201,,
Clec1b,1,Clec9a,,readthrough transcripts deleted,Clec1b-204,,
Clic6,1,2410124H12Rik,,premature transcripts deleted,Clic6-202,Refseq agrees.,
Clmp,1,Gm48294,,keep as is,,Has nested genes in it.,
Cmc4,1,Mtcp1,,premature transcripts deleted,"Cmc4-201, Cmc4-203",In contradiction with Refseq but works perfectly.,
Cmtm1,1,Cmtm2a,,readthrough transcripts deleted,"Cmtm1-202, Cmtm1-203",,
Cmtm2a,1,Cmtm1,,keep as is,,Upstream gene fixed,
Cmtm4,1,Gm45877,,keep as is,,,
Cog8,1,Pdf,,transcripts deleted and remaining transcript boundary changed,"Cog8-202, Cog8-203, Cog8-204",Remove all but one transcript and change the LEFT end of the gene to (107048709) to correspond to Refseq boundary,
Col20a1,1,9230112E08Rik,,keep as is,,upstream gene fixed,
Col24a1,1,D530037P16Rik,,keep as is,,,
Col26a1,1,Gm20485,,keep as is,,Contains nested genes,
Commd5,1,Gm49527,,keep as is,,,
Corin,1,AU023070,,keep as is,,,
Coro1b,1,Ptprcap,,keep as is,,Downstream gene fixed,
Cphx2,1,Cphx3,,keep as is,,,
Cpxm2,1,Fgfr2,,keep as is,,,
CR974488.1,1,Gm17522,,Delete,,Discontinued in new nomenclature,
Cracr2a,1,Gm43634,,keep as is,,,
Crnde,1,Gm21817,,keep as is,,,
Cse1l,1,Gm17096,,keep as is,,,
Csmd2,1,Hmgb4os,,keep as is,,Has a nested gene in it,
Csrnp1,1,Cx3cr1,,keep as is,,,
Ctbp2,1,Fgfr2,,keep as is,,,
Ctrc,1,Cela2a,,readthrough transcripts deleted,Ctrc-205,Note - this has been fixed in the new nomenclature.,
Cttn,1,Gm14376,,keep as is,,Contains nested genes,
Cuta,1,Gm41555,,keep as is,,,
Cuzd1,1,Fgfr2,,keep as is,,,
Cwc22,1,Gm13727,,keep as is,,,
Cyp11a1,1,Gm17322,,keep as is,,,
D030024E09Rik,1,Gm49498,,readthrough transcripts deleted,D030024E09Rik-201,,
D030028A08Rik,1,Prr15l,,keep as is,,Contains nested genes,
D130062J10Rik,1,Fcho2,,keep as is,,Absent in Refseq. Leaving as is.,
D430018E03Rik,1,Fbxl18,,keep as is,,Nested gene,
D530037P16Rik,1,Col24a1,,keep as is,,Absent in Refseq. Leaving as is.,
D5Ertd615e,1,Gm43303,,keep as is,,Contains nested genes,
D630014O11Rik,1,Galnt14,,keep as is,,Absent in Refseq. No reads mapping. Leavin as is but technically silent.,
D630045J12Rik,1,Atp6v0a4,,keep as is,,Downstream gene fixed,
Dcaf1,1,Gm37612,,keep as is,,Contains nested genes,
Dcaf5,1,Gm50278,,keep as is,,,
Dcaf6,1,Gm37864,,keep as is,,,
Dcpp1,1,Dcpp2,,keep as is,,,
Dcpp2,1,Dcpp1,,premature transcripts deleted,Dcpp2-202,,
Ddi2,1,Rsc1a1,,RENAME,,"Final exon fully overlaps with Rsc1a1. Renaming ""Ddi2-Rsc1a1"".",
Ddit3,1,Ddit3,,keep as is,,,
Ddit3,1,Ddit3,,transcripts deleted,Ddit3-204,two gene_ids correspond to a single gene,
Dennd1b,1,4930596I21Rik,,keep as is,,Contains nested genes,
Dennd1c,1,Gm49888,,keep as is,,Contains nested genes,
Dhh,1,Rhebl1,,keep as is,,Downstream gene fixed,
Diablo,1,Gm49027,,keep as is,,,
Dis3l2,1,Gm29055,,keep as is,,Contains nested genes,
Dleu2,1,Gm27010,,keep as is,,Contains nested genes,
Dlg2,1,Gm45159,,premature transcripts deleted,"Dlg2-211, Dlg2-215, Dlg2-216, Dlg2-217",,
Dlg5,1,Gm17105,,keep as is,,,
Dmrt1i,1,Bri3,,keep as is,,,
Dnaaf3,1,Tnni3,,keep as is,,Downstream gene fixed,
Dnaja3,1,Vasn,,premature transcripts deleted,Dnaja3-204,,
Dnajb3,1,Gm20528,,keep as is,,,
Dnajc14,1,Sarnp,,keep as is,,Downstream gene fixed,
Dpep2,1,Dpep2,,keep as is,,Note - there is another Dpep2 gene_id,
Dpep2nb,1,Dpep2,,keep as is,,,
Dph1,1,Ovca2,,readthrough transcripts deleted,"Dph1-201, Dph1-204, Dph1-205",Same problem in Refseq. Overlapping last exons. Might as well as leave premrna,
Dpysl5,1,Gm42764,,keep as is,,,
Drc1,1,Gm43755,,keep as is,,Contains nested genes,
Dusp1,1,Gm50275,,keep as is,,,
Dusp19,1,Nup35,,keep as is,,,
Duxbl2,1,Cphx3,,keep as is,,,
DXBay18,1,Xlr5a,,keep as is,,,
E130018N17Rik,1,Gm14235,,keep as is,,Interleaved structure,
E130114P18Rik,1,Gm12676,,keep as is,,Contains nested genes,
Edc4,1,Nrn1l,,readthrough transcripts deleted,Edc4-204,Refseq ok,
Eef1akmt2,1,Fgfr2,,keep as is,,,
Eef1d,1,Naprt,,readthrough transcripts deleted,Eef1d-218,,
Eefsec,1,Gm44265,,keep as is,,,
Efcab3,1,Gm11639,,keep as is,,,
Efr3a,1,Gm20405,,keep as is,,,
Eid3,1,Txnrd1,,keep as is,,,
Eif4ebp2,1,Gm48086,,keep as is,,Contains nested genes,
Eipr1,1,Gm48905,,keep as is,,,
Elk1,1,Uxt,,keep as is,,Upstream gene fixed,
Ell2,1,Gm48302,,keep as is,,Contains nested genes,
Ell3,1,Serinc4,,keep as is,,,
Elmo1,1,Gm47664,,keep as is,,Contains nested genes,
Elmsan1,1,Gm47447,,keep as is,,,
Eloa,1,Gm24362,,keep as is,,,
Emc1,1,Ubr4,,keep as is,,Downstream gene deleted,
Eme2,1,Mapk8ip3,,keep as is,,Upstream gene fixed,
Eml6,1,4931440F15Rik,,keep as is,,,
Eno1b,1,G630055G22Rik,,keep as is,,Nested gene,
Entpd1,1,Gm50132,,keep as is,,,
Entpd2,1,Npdc1,,keep as is,,,
Ephb1,1,Gm29388,,keep as is,,,
Eppk1,1,BC024139,,keep as is / CHANGE GENE SPAN,,Special case: Change RIGHT boundary to 76120195,
Erbb4,1,Gm16076,,keep as is,,Contains nested genes,
Ercc6l2,1,Gm47424,,keep as is,,,
Erich2os,1,Gad1os,,keep as is,,,
Erich3,1,Gm38139,,keep as is,,Interleaved structure,
Esp6,1,Gm44501,,keep as is,,,
Etos1,1,Fgfr2,,keep as is,,,
Evi2a,1,Evi2,,keep as is,,Deleted the overlapping Evi2 gene,
Evi2b,1,Evi2,,keep as is,,Deleted the overlapping Evi2 gene,
Exoc2,1,Hus1b,,keep as is,,Contains nested genes,
Exosc6,1,Aars,,keep as is,,Shorten Aars premrna and leave both after that. Use refseq coordinates for Aars,
F830045P16Rik,1,Gm14040,,keep as is,,Contains nested genes,
F930017D23Rik,1,Gm34481,,keep as is,,,
Fam122a,1,Pip5k1b,,keep as is,,Nested gene,
Fam129c,1,Pgls,,keep as is,,,
Fam133b,1,Gm43017,,keep as is,,,
Fam160a1,1,Gm37240,,keep as is,,,
Fam172a,1,Pou5f2,,keep as is,,Contains nested genes,
Fam181b,1,Gm26862,,keep as is,,Nested gene,
Fam187a,1,Ccdc103,,keep as is,,,
Fam189a1,1,Nsmce3,,keep as is,,Nested gene,
Fam205a1,1,Gm12394,,keep as is,,Nested gene,
Fam220a,1,Fam220a,,keep as is,,,
Fam220a,1,Fam220a,,transcripts deleted,"Fam220a-205, Fam220a-206, Fam220a-207, Fam220a-208, Fam220a-209",two gene_ids correspond to a single gene,
Fam24b,1,Fgfr2,,keep as is,,,
Fam53b,1,Fgfr2,,keep as is,,,
Fam78a,1,Gm16534,,readthrough transcripts deleted,Fam78a-203,,
Fam90a1b,1,Fam90a1b,,keep as is,"Fam90a1b-201, Fam90a1b-202, Fam90a1b-203",,
