genes,number_of_gene_overlaps,overlapping_genes,automatic_classification,final_classification,transcripts_for_deletion,comments
AC008991.1,1,LINC00906,,keep as is,,
AC009032.1,1,NFAT5,,keep as is,,
AC009041.2,1,LMF1,,keep as is,,
AC009041.4,1,LMF1,,keep as is,,
AC009054.1,1,CFDP1,,keep as is,,
AC009054.2,1,CFDP1,,keep as is,,
AC009063.1,1,AC009063.2,,keep as is,,
AC009063.2,1,AC009063.1,,keep as is,,
AC009065.5,1,PKD1,,keep as is,,
AC009090.1,1,ARL2BP,,keep as is,,
AC009102.1,1,GNAO1,,keep as is,,
AC009120.5,1,AC138627.1,,keep as is,,
AC009121.4,1,RMI2,,keep as is,,
AC009127.1,1,ZNF821,,keep as is,,
AC009135.1,1,RBFOX1,,keep as is,,
AC009137.2,1,TANGO6,,keep as is,,
AC009139.2,1,ADAMTS18,,keep as is,,
AC009145.1,1,WWOX,,keep as is,,
AC009145.2,1,WWOX,,keep as is,,
AC009152.1,1,XYLT1,,keep as is,,
AC009163.4,1,TMEM170A,,keep as is,,
AC009229.3,1,CYP1B1-AS1,,keep as is,,
AC009236.1,1,AC009236.2,,keep as is,,
AC009236.2,1,AC009236.1,,keep as is,,
AC009248.2,1,ANO6,,keep as is,,
AC009268.2,1,AVEN,,keep as is,,
AC009268.3,1,CHRM5,,keep as is,,
AC009269.4,1,LARP6,,keep as is,,
AC009269.5,1,UACA,,keep as is,,
AC009292.2,1,SKOR1,,Delete,,Overlaps with protein coding gene's exon
AC009303.2,1,AC009303.3,,keep as is,,
AC009303.3,1,AC009303.2,,keep as is,,
AC009336.1,1,HAGLR,,keep as is,,
AC009403.1,1,AC009403.2,,keep as is,,
AC009412.1,1,FAM220A,,Delete,,Overlaps with protein coding gene's exon
AC009464.1,1,ARID2,,keep as is,,
AC009495.1,1,AC009495.2,,keep as is,,
AC009495.2,1,AC009495.1,,keep as is,,
AC009554.1,1,AC009554.2,,keep as is,,
AC009554.2,1,AC009554.1,,keep as is,,
AC009558.2,1,SEMA6D,,keep as is,,
AC009560.1,1,RORA-AS1,,keep as is,,
AC009570.2,1,ENAM,,Delete,,Overlaps with protein coding gene's exon
AC009630.1,1,AC009630.2,,keep as is,,
AC009630.2,1,AC009630.1,,keep as is,,
AC009704.2,1,CNDP2,,keep as is,,
AC009754.1,1,FAM214A,,keep as is,,
AC009831.3,1,RNF125,,keep as is,,
AC009878.1,1,GABRB3,,keep as is,,
AC009879.4,1,RRS1-AS1,,keep as is,,
AC009930.1,1,LINC01609,,keep as is,,
AC009948.2,1,TTN-AS1,,keep as is,,
AC009948.3,1,TTN-AS1,,keep as is,,
AC009961.4,1,CD302,,keep as is,,
AC009996.1,1,EIF3J,,keep as is,,
AC010139.1,1,LINC00690,,keep as is,,
AC010157.1,1,NRG3-AS1,,keep as is,,
AC010175.1,1,LINC00987,,keep as is,,
AC010185.1,1,AC010197.1,,keep as is,,
AC010196.1,1,MGAT4C,,Delete,,Overlaps with protein coding gene's exon
AC010197.1,1,AC010185.1,,keep as is,,
AC010201.1,1,AC010201.3,,keep as is,,
AC010201.2,1,AC010201.3,,keep as is,,
AC010255.1,1,AC010255.2,,keep as is,,
AC010255.2,1,AC010255.1,,keep as is,,
AC010255.3,1,ZNF474,,premature tr. deleted,AC010255.3-201,
AC010319.3,1,AC010319.4,,keep as is,,
AC010319.4,1,AC010319.3,,keep as is,,
AC010325.1,1,AC010325.2,,keep as is,,
AC010325.2,1,AC010325.1,,keep as is,,
AC010326.3,1,ZNF814,,keep as is,,
AC010332.3,1,ZNF578,,keep as is,,
AC010343.3,1,AC034223.2,,keep as is,,
AC010359.3,1,ERBIN,,keep as is,,
AC010422.4,1,ZNF564,,keep as is,,
AC010442.1,1,SLC9A3,,Delete,,Overlaps with protein coding gene's exon
AC010463.3,1,ABHD8,,keep as is,,
AC010503.1,1,AC010503.2,,keep as is,,
AC010503.2,1,AC010503.1,,keep as is,,
AC010530.1,1,RANBP10,,keep as is,,
AC010531.4,1,C16orf95,,keep as is,,
AC010536.2,1,KLHDC4,,keep as is,,
AC010538.1,1,CDK10,,Delete,,Overlaps with protein coding gene's exon
AC010547.2,1,ZNF19,,keep as is,,
AC010601.1,1,AC091489.1,,keep as is,,
AC010624.1,1,ZNF473,,keep as is,,
AC010632.2,1,ZNF420,,keep as is,,
AC010680.1,1,TTN-AS1,,keep as is,,
AC010680.2,1,TTN-AS1,,keep as is,,
AC010680.3,1,TTN-AS1,,keep as is,,
AC010680.4,1,TTN-AS1,,keep as is,,
AC010680.5,1,TTN-AS1,,keep as is,,
AC010729.2,1,SOX11,,premature tr. deleted,AC010729.2-201,
AC010733.2,1,REL,,Delete,,Overlaps with protein coding gene's exon
AC010735.1,1,AC010735.2,,keep as is,,
AC010735.2,1,AC010735.1,,keep as is,,
AC010761.6,1,NEK8,,keep as is,,
AC010834.3,1,FAM92A,,keep as is,,
AC010891.1,1,TTTY22,,keep as is,,
AC010894.3,1,AC010894.4,,keep as is,,
AC010894.4,1,AC010894.3,,keep as is,,
AC010997.3,1,ZNF503,,premature tr. deleted,AC010997.3-201,
AC010999.1,1,AC090517.5,,keep as is,,
AC011195.2,1,TEX14,,Delete,,Changed obscure nomenclature
AC011196.1,1,GABRB3,,keep as is,,
AC011297.1,1,TBL1Y,,keep as is,,
AC011330.2,1,CATSPER2,,keep as is,,
AC011333.1,1,NSG2,,keep as is,,
AC011352.1,1,C5orf46,,keep as is,,
AC011379.1,1,CYSTM1,,keep as is,,
AC011396.2,1,AC011396.3,,keep as is,,
AC011396.3,1,AC011396.2,,keep as is,,
AC011445.1,1,LRFN1,,Delete,,Overlaps with protein coding gene's exon
AC011445.2,1,GMFG,,keep as is,,
AC011461.1,1,KEAP1,,keep as is,,
AC011462.3,1,BCKDHA,,keep as is,,
AC011462.4,1,TMEM91,,keep as is,,
AC011462.5,1,TGFB1,,keep as is,,
AC011467.1,1,ZNF98,,keep as is,,
AC011468.1,1,ZNF432,,keep as is,,
AC011472.2,1,RAB3D,,premature tr. deleted,AC011472.2-201,
AC011472.3,1,TSPAN16,,keep as is,,
AC011474.1,1,AC011474.2,,keep as is,,
AC011474.2,1,AC011474.1,,keep as is,,
AC011477.2,1,ZNF506,,keep as is,,
AC011479.2,1,SIPA1L3,,keep as is,,
AC011479.3,1,SIPA1L3,,keep as is,,
AC011491.2,1,GTF2F1,,keep as is,,
AC011497.1,1,LIPE,,keep as is,,
AC011503.2,1,ZNF726,,keep as is,,
AC011509.1,1,AC011509.2,,keep as is,,
AC011509.2,1,AC011509.1,,keep as is,,
AC011511.2,1,AC011511.3,,keep as is,,
AC011511.3,1,AC011511.2,,keep as is,,
AC011676.1,1,SLC45A4,,keep as is,,
AC011700.1,1,PROX1-AS1,,keep as is,,
AC011726.2,1,BNIP3L,,keep as is,,
AC011726.3,1,BNIP3L,,keep as is,,
AC011731.1,1,TMEM241,,keep as is,,
AC011752.1,1,AC018742.1,,keep as is,,
AC011753.2,1,SEPTIN10,,keep as is,,
AC011754.1,1,CTNNA2,,keep as is,,
AC011815.1,1,ZSCAN30,,keep as is,,
AC011824.3,1,ASIC2,,keep as is,,
AC011891.2,1,SCIN,,Delete,,Overlaps with protein coding gene's exon
AC011933.2,1,GRB2,,keep as is,,
AC011939.2,1,DENND4A,,keep as is,,
AC011995.2,1,AC018685.1,,keep as is,,
AC011997.1,1,MARS2,,keep as is,,
AC011998.3,1,PDE11A,,keep as is,,
AC012055.1,1,LINC02268,,keep as is,,
AC012055.2,1,LINC02268,,keep as is,,
AC012063.1,1,AC105760.1,,keep as is,,
AC012065.3,1,HS1BP3,,keep as is,,
AC012070.1,1,LINC01807,,keep as is,,
AC012150.1,1,AC012150.2,,keep as is,,
AC012150.2,1,AC012150.1,,keep as is,,
AC012178.1,1,LINC02177,,premature tr. deleted,AC012178.1-209,
AC012186.2,1,VPS35,,keep as is,,
AC012291.2,1,ZNF592,,keep as is,,
AC012309.2,1,ZNF585A,,keep as is,,
AC012321.1,1,NFAT5,,Delete,,Overlaps with protein coding gene's exon
AC012358.1,1,CLHC1,,keep as is,,
AC012370.1,1,SPRED2,,keep as is,,
AC012409.1,1,AC012409.2,,keep as is,,
AC012409.3,1,NR2F2-AS1,,keep as is,,
AC012409.4,1,AC012409.2,,keep as is,,
AC012417.1,1,DSCAS,,keep as is,,
AC012435.3,1,UBL7-AS1,,keep as is,,
AC012442.1,1,AC012442.2,,keep as is,,
AC012462.1,1,AC012462.2,,keep as is,,
AC012462.2,1,AC012462.1,,keep as is,,
AC012464.2,1,CRADD,,keep as is,,
AC012501.2,1,RPRM,,keep as is,,
AC012508.1,1,AC012508.3,,keep as is,,
AC012508.3,1,AC012508.1,,keep as is,,
AC012588.1,1,AQP4-AS1,,keep as is,,
AC012613.1,1,AC012613.2,,keep as is,,
AC012613.2,1,AC012613.1,,keep as is,,
AC012653.2,1,ALDH1A2,,keep as is,,
AC012676.1,1,PAM16,,keep as is,,
AC012676.3,1,DNAJA3,,keep as is,,
AC012676.4,1,DNAJA3,,keep as is,,
AC013391.2,1,TICRR,,keep as is,,
AC013472.1,1,AC013472.2,,keep as is,,
AC013472.2,1,AC013472.1,,keep as is,,
AC013509.1,1,ZFHX4-AS1,,keep as is,,
AC013549.4,1,TEAD1,,keep as is,,
AC013562.1,1,KCNB2,,keep as is,,
AC013564.1,1,SMAD6,,keep as is,,
AC013644.1,1,LINC00968,,keep as is,,
AC013652.1,1,AC013652.2,,keep as is,,
AC013652.2,1,AC013652.1,,keep as is,,
AC013714.1,1,METTL15,,keep as is,,
AC013716.1,1,LRRTM4,,keep as is,,
AC013727.1,1,AC013727.2,,keep as is,,
AC013727.2,1,AC013727.1,,keep as is,,
AC013731.1,1,UPP2,,keep as is,,
AC015468.1,1,AC015468.2,,keep as is,,
AC015468.2,1,AC015468.1,,keep as is,,
AC015540.1,1,CNTN1,,keep as is,,
AC015563.1,1,GAREM1,,keep as is,,
AC015631.1,1,PABPC4L,,keep as is,,
AC015727.1,1,NUP88,,keep as is,,
AC015802.3,1,PRCD,,keep as is,,
AC015802.4,1,CYGB,,keep as is,,
AC015802.5,1,PRCD,,keep as is,,
AC015802.6,1,ST6GALNAC2,,keep as is,,"no good options, protein coding"
AC015849.4,1,TAF15,,keep as is,,
AC015871.1,1,AC015871.4,,keep as is,,
AC015871.4,1,AC015871.1,,keep as is,,
AC015871.7,1,MTHFS,,keep as is,,
AC015878.2,1,GREB1L,,keep as is,,
AC015908.4,1,TMEM220-AS1,,keep as is,,
AC015911.3,1,SLFN12L,,keep as is,,
AC015923.1,1,AC005828.2,,keep as is,,
AC016027.2,1,MICAL3,,keep as is,,
AC016027.3,1,MICAL3,,keep as is,,
AC016168.1,1,AC016168.2,,keep as is,,
AC016168.2,1,AC016168.1,,keep as is,,
AC016394.1,1,DNAJC9-AS1,,keep as is,,
AC016405.1,1,ZHX2,,keep as is,,
AC016526.2,1,GPATCH2L,,keep as is,,
AC016542.1,1,MCU,,keep as is,,
AC016586.1,1,ZBTB7A,,keep as is,,
AC016590.2,1,ZNF875,,keep as is,,
AC016596.1,1,AC008892.1,,keep as is,,
AC016597.2,1,KIAA0556,,keep as is,,
AC016705.1,1,AC016705.3,,keep as is,,
AC016705.3,1,AC016705.1,,keep as is,,
AC016745.1,1,IGKV1OR2-108,,keep as is,,
AC016773.1,1,TACC3,,keep as is,,
AC016822.1,1,PCDH15,,keep as is,,
AC016831.1,1,AC016831.7,,keep as is,,
AC016831.5,1,AC016831.7,,keep as is,,
AC016885.1,1,LINC00535,,keep as is,,
AC016907.2,1,ALK,,keep as is,,
AC016949.1,1,SENP5,,keep as is,,
AC016987.2,1,AGBL1,,keep as is,,
AC017002.2,1,AC017002.5,,keep as is,,
AC017002.3,1,AC017002.5,,keep as is,,
AC017067.1,1,LINC01239,,keep as is,,
AC017071.1,1,LINC01473,,keep as is,,
AC017091.1,1,LINC02619,,keep as is,,
AC017116.1,1,DBNL,,Delete,,overlaps with protein coding gene's exon
AC018450.1,1,CHST2,,premature tr. deleted,AC018450.1-201,
AC018511.1,1,AC018511.2,,keep as is,,
AC018511.2,1,AC018511.1,,keep as is,,
AC018521.6,1,SP2-AS1,,keep as is,,
AC018557.1,1,AC018557.3,,keep as is,,
AC018557.2,1,AC018557.3,,keep as is,,
AC018607.1,1,LYN,,keep as is,,
AC018616.1,1,AC023644.1,,keep as is,,
AC018685.1,1,AC011995.2,,keep as is,,
AC018695.6,1,C16orf74,,keep as is,,
AC018716.2,1,AC103855.3,,keep as is,,
AC018730.1,1,POU3F3,,keep as is,,
AC018742.1,1,AC011752.1,,keep as is,,
AC018755.4,1,SIGLEC5,,Delete,,Absent in Refseq. Overlaps with several genes' exons.
AC018755.5,1,FPR1,,keep as is,,
AC018761.3,1,HOOK2,,keep as is,,
AC018809.1,1,CRELD1,,keep as is,,
AC018904.2,1,LIPC,,keep as is,,
AC018926.1,1,CCPG1,,keep as is,,
AC018926.2,1,RAB27A,,keep as is,,
AC018926.3,1,CCPG1,,keep as is,,
AC019131.1,1,AC019131.3,,keep as is,,
AC019131.3,1,AC019131.1,,keep as is,,
AC019183.1,1,AP005262.2,,keep as is,,
AC019185.2,1,PTH2R,,keep as is,,
AC019197.1,1,SCN2A,,keep as is,,
AC020558.2,1,AC020558.6,,keep as is,,
AC020558.6,1,AC020558.2,,keep as is,,
AC020636.1,1,CLRN1-AS1,,keep as is,,
AC020658.3,1,PAK6,,keep as is,,
AC020658.4,1,PAK6,,keep as is,,
AC020658.5,1,PLCB2,,keep as is,,
AC020661.4,1,INO80,,keep as is,,
AC020663.3,1,GLYR1,,keep as is,,
AC020891.1,1,GLDN,,keep as is,,
AC020891.3,1,CYP19A1,,keep as is,,
AC020910.2,1,SCGB2B2,,keep as is,,
AC020915.1,1,ZNF544,,keep as is,,
AC020978.1,1,PRMT7,,keep as is,,
AC020978.4,1,ESRP2,,keep as is,,
AC020978.5,1,ESRP2,,Delete,,Absent in RefSeq. Overlaps with protein coding gene exon.
AC020978.6,1,NFATC3,,keep as is,,
AC020978.7,1,NFATC3,,Delete,,Overlaps with protein coding gene's exon.
AC021087.4,1,LRRC14B,,Delete,,Overlaps with protein coding gene's exon.
AC021188.1,1,SNRNP200,,Delete,,Overlaps with protein coding gene's exon.
AC021321.2,1,ARFGEF1,,keep as is,,
AC021483.2,1,MTHFS,,Delete,,Overlaps with 3' end of gene.
AC021613.1,1,AC021613.3,,keep as is,,
AC021613.3,1,AC021613.1,,keep as is,,
AC021683.2,1,AC021683.6,,keep as is,,
AC021683.6,1,AC021683.2,,keep as is,,
AC021860.1,1,KLF3-AS1,,keep as is,,
AC022007.1,1,EMC3,,keep as is,,
AC022031.1,1,AC022031.2,,keep as is,,
AC022031.2,1,AC022031.1,,keep as is,,
AC022079.1,1,CCDC91,,keep as is,,
AC022079.2,1,AC022364.1,,keep as is,,
AC022113.1,1,AC024588.1,,keep as is,,
AC022148.2,1,ZNF793-AS1,,keep as is,,
AC022150.2,1,ZNF83,,keep as is,,
AC022150.4,1,ZNF83,,keep as is,,
AC022167.1,1,AC022167.2,,keep as is,,
AC022211.1,1,JPT1,,keep as is,,
AC022211.3,1,JPT1,,keep as is,,
AC022215.2,1,AC117383.1,,keep as is,,
AC022306.2,1,GALK2,,keep as is,,
AC022306.3,1,GALK2,,keep as is,,
AC022336.2,1,KALRN,,Delete,,Overlaps with protein coding gene's exon
AC022360.2,1,LINC02237,,keep as is,,
AC022364.1,1,AC022079.2,,keep as is,,
AC022367.1,1,LMNTD1,,keep as is,,
AC022405.1,1,KNL1,,keep as is,,
AC022431.1,1,C5orf67,,keep as is,,
AC022447.2,1,PDZD2,,keep as is,,
AC022447.5,1,PDZD2,,keep as is,,
AC022447.6,1,PDZD2,,keep as is,,
AC022467.1,1,FBN1,,keep as is,,
AC022469.1,1,NRXN3,,keep as is,,
AC022486.1,1,HSFY1,,Delete,,Overlaps with protein coding gene's exon
AC022506.1,1,DDIT3,,Delete,,Overlaps with protein coding gene's exon
AC022523.3,1,AC022523.1,,keep as is,,
AC022558.1,1,BTBD1,,keep as is,,
AC022613.3,1,TJP1,,keep as is,,
AC022679.1,1,XKR4,,keep as is,,
AC022726.1,1,BCL2,,keep as is,,
AC022762.1,1,OR52B2,,keep as is,,
AC022784.1,1,AC022784.6,,keep as is,,
AC022784.6,1,AC022784.1,,keep as is,,
AC022819.1,1,TTC23,,keep as is,,
AC022898.2,1,RORA,,keep as is,,
AC022915.1,1,AC022915.2,,keep as is,,
AC022960.2,1,TRAPPC8,,keep as is,,
AC023034.1,1,AC060809.1,,keep as is,,
AC023043.4,1,MOCOS,,keep as is,,
AC023158.1,1,SYT10,,keep as is,,
AC023158.2,1,SYT10,,keep as is,,
AC023300.1,1,CCDC33,,keep as is,,
AC023301.1,1,NETO1,,Delete,,Overlaps with protein coding gene's exon
AC023394.2,1,CDH7,,keep as is,,
AC023421.1,1,SLC14A2,,keep as is,,
AC023421.2,1,AC091151.5,,keep as is,,
AC023442.3,1,LINC01499,,premature tr. deleted,"AC023442.3-201, AC023442.3-202",
AC023449.2,1,ATP10A,,keep as is,,
AC023481.1,1,LMCD1-AS1,,keep as is,,
AC023483.1,1,SUMF1,,keep as is,,
AC023595.1,1,TMEM132C,,keep as is,,
AC023644.1,1,AC018616.1,,keep as is,,
AC023794.1,1,AC023794.3,,keep as is,,
AC023794.3,1,AC023794.1,,keep as is,,
AC023794.5,1,SMUG1,,keep as is,,
AC023794.6,1,SMUG1,,keep as is,,
AC023813.3,1,AC007611.1,,keep as is,,
AC023813.4,1,AC007611.1,,keep as is,,
AC023830.3,1,CDIP1,,keep as is,,
AC023908.1,1,GPR176,,keep as is,,
AC024075.1,1,SMIM7,,keep as is,,
AC024075.2,1,SMIM7,,keep as is,,
AC024075.3,1,AC008764.2,,keep as is,,
AC024257.4,1,AC090115.1,,keep as is,,
AC024270.3,1,HDGFL3,,Delete,,Overlaps with protein coding gene's exon. Absent in Refseq
AC024361.1,1,FN3K,,keep as is,,
AC024451.4,1,SPIDR,,keep as is,,
AC024558.2,1,TXNRD3,,Delete,,Overlaps with protein coding gene's exon. Absent in Refseq
AC024581.1,1,AC106798.1,,keep as is,,
AC024588.1,1,AC022113.1,,keep as is,,
AC024610.2,1,ASIC2,,keep as is,,
AC024614.4,1,ASIC2,,keep as is,,
AC024619.1,1,PIPOX,,keep as is,,
AC024681.2,1,LINC00861,,keep as is,,
AC024940.6,1,SINHCAF,,Delete,,Overlaps with protein coding gene's exon
AC024958.1,1,AC120193.1,,keep as is,,
AC025031.3,1,SLC38A1,,keep as is,,
AC025031.4,1,AC008014.1,,keep as is,,
AC025154.1,1,AC025154.2,,keep as is,,
AC025154.2,1,AC025154.1,,keep as is,,
AC025162.1,1,PMEL,,keep as is,,
AC025162.2,1,DGKA,,keep as is,,
AC025165.5,1,TSFM,,keep as is,,
AC025171.1,1,ANXA2R,,keep as is,,
AC025244.1,1,AC025244.2,,keep as is,,
AC025244.2,1,AC025244.1,,keep as is,,
AC025280.1,1,CRISPLD2,,keep as is,,
AC025300.1,1,MICAL2,,keep as is,,
AC025370.1,1,BAALC-AS1,,keep as is,,
AC025423.1,1,MDM2,,keep as is,,
AC025423.4,1,CPM,,keep as is,,
AC025575.1,1,AC025575.2,,keep as is,,
AC025575.2,1,AC025575.1,,keep as is,,
AC025576.2,1,AC025576.3,,keep as is,,
AC025576.3,1,AC025576.2,,keep as is,,
AC025580.2,1,C15orf48,,premature tr. deleted,AC025580.2-201,
AC025766.1,1,KIAA0825,,keep as is,,
AC025822.1,1,AC025822.2,,keep as is,,
AC025822.2,1,AC025822.1,,keep as is,,
AC025857.2,1,CTSB,,keep as is,,
AC025887.1,1,AC025887.2,,keep as is,,
AC025887.2,1,AC025887.1,,keep as is,,
AC025918.1,1,RNF111,,keep as is,,
AC026108.1,1,PAH,,keep as is,,
AC026124.1,1,MSRB3,,keep as is,,
AC026124.2,1,LEMD3,,keep as is,,
AC026202.2,1,AC026202.3,,keep as is,,
AC026202.3,1,AC026202.2,,keep as is,,
AC026316.3,1,SLC7A14-AS1,,keep as is,,
AC026341.1,1,AC026341.3,,keep as is,,
AC026341.3,1,AC026341.1,,keep as is,,
AC026355.2,1,LINC00578,,keep as is,,
AC026356.1,1,BICD1,,Delete,,At 3' end of a protein coding gene.
AC026356.2,1,BICD1,,keep as is,,
AC026358.1,1,RFLNA,,keep as is,,
AC026368.1,1,FBXW8,,keep as is,,
AC026401.1,1,BMERB1,,keep as is,,
AC026401.2,1,NDE1,,keep as is,,
AC026401.3,1,NDE1,,keep as is,,
AC026458.2,1,AC074051.5,,keep as is,,
AC026462.2,1,CASC16,,keep as is,,
AC026464.2,1,CYB5B,,Delete,,Overlaps with protein coding gene's exon
AC026470.3,1,SIAH1,,keep as is,,
AC026474.1,1,SNTB2,,keep as is,,
AC026719.1,1,AC106799.2,,keep as is,,
AC026740.3,1,ZDHHC11B,,Delete,,Overlaps with protein coding gene's exon
AC026741.1,1,NIPBL-DT,,keep as is,,
AC026770.1,1,TMOD2,,keep as is,,
AC026790.1,1,BASP1-AS1,,keep as is,,
AC026979.3,1,AC026979.4,,keep as is,,
AC026979.4,1,AC026979.3,,keep as is,,
AC026991.1,1,CSMD1,,keep as is,,
AC027088.2,1,EWSAT1,,keep as is,,
AC027088.5,1,NOX5,,keep as is,,
AC027097.1,1,AC027097.2,,keep as is,,
AC027097.2,1,AC027097.1,,premature tr. deleted,AC027097.2-201,
AC027117.1,1,AC027117.2,,keep as is,,
AC027117.2,1,AC027117.1,,keep as is,,
AC027237.4,1,PAQR5,,keep as is,,
AC027277.2,1,EMP2,,keep as is,,
AC027279.1,1,WWOX,,keep as is,,
AC027279.2,1,WWOX,,keep as is,,
AC027281.1,1,HYDIN,,Delete,,Overlaps with protein coding gene's exon
AC027306.1,1,KCNIP1,,keep as is,,
AC027335.1,1,SEMA5A,,keep as is,,
AC027348.1,1,ZNF423,,keep as is,,
AC027419.2,1,SLC30A8,,keep as is,,
AC027514.1,1,RELCH,,keep as is,,
AC027544.2,1,TSG101,,keep as is,,
AC027575.2,1,ZNF236-DT,,keep as is,,
AC027682.1,1,AC027682.4,,keep as is,,
AC027682.2,1,AC027682.3,,keep as is,,
AC027682.3,1,AC027682.2,,keep as is,,
AC027682.4,1,AC027682.1,,keep as is,,
AC027702.1,1,ANK1,,keep as is,,
AC027763.2,1,ALOX12-AS1,,keep as is,,
AC027779.1,1,LINC02545,,keep as is,,
AC027796.1,1,TRPV1,,keep as is,,
AC027796.5,1,TRPV1,,keep as is,,
AC027801.4,1,KAT7,,Delete,,Overlaps with protein coding gene's exon
AC027807.2,1,ADAMTSL3,,keep as is,,
AC034111.1,1,AC034111.2,,keep as is,,
AC034111.2,1,AC034111.1,,keep as is,,
AC034154.1,1,STPG2,,keep as is,,
AC034187.1,1,LMCD1-AS1,,keep as is,,
AC034206.1,1,SLC25A48,,keep as is,,
AC034222.2,1,OXCT1-AS1,,keep as is,,
AC034223.2,1,AC010343.3,,keep as is,,
AC034226.1,1,GDNF-AS1,,keep as is,,
AC034229.2,1,AC034229.3,,keep as is,,
AC034229.3,1,AC034229.2,,keep as is,,
AC034238.1,1,ESM1,,keep as is,,Downstream gene fixed
AC035139.1,1,WDFY4,,keep as is,,
AC036108.1,1,PGPEP1L,,keep as is,,
AC036176.3,1,SERPINB5,,keep as is,,
AC036214.2,1,MRPS28,,keep as is,,
AC036222.2,1,SKAP1,,keep as is,,
AC037198.1,1,THBS1,,keep as is,,
AC037198.2,1,FSIP1,,keep as is,,
AC037441.2,1,PEBP4,,keep as is,,
AC037459.4,1,SORBS3,,keep as is,,
AC039056.2,1,EHD4,,keep as is,,
AC040169.3,1,MBTPS1,,keep as is,,
AC040174.1,1,AC040174.2,,keep as is,,
AC040174.2,1,AC040174.1,,keep as is,,
AC040896.1,1,CCDC102B,,Delete,,Overlaps gene end.
AC040904.1,1,VMP1,,keep as is,,
AC040977.1,1,ALOX12-AS1,,keep as is,,
AC044802.2,1,NAE1,,keep as is,,
AC044893.2,1,PPDPFL,,keep as is,,
AC046134.2,1,AC097103.1,,keep as is,,
AC046158.2,1,WWOX,,keep as is,,
AC048338.2,1,DIABLO,,Delete,,Overlaps with protein coding gene's exons
AC048341.1,1,AC048341.2,,keep as is,,
AC048341.2,1,AC048341.1,,keep as is,,
AC048344.4,1,BICD1,,keep as is,,
AC048382.1,1,AC048382.5,,keep as is,,
AC048382.6,1,AC048382.5,,keep as is,,
AC051618.1,1,PCDH15,,keep as is,,
AC051619.6,1,SHF,,keep as is,,
AC051619.7,1,SHF,,keep as is,,
AC051619.8,1,SHF,,keep as is,,
AC051649.1,1,LSP1,,Delete,,Overlaps with protein coding gene's exons
AC053503.1,1,AC053503.5,,keep as is,,
AC053503.5,1,AC053503.1,,keep as is,,
AC053513.2,1,C2CD5,,keep as is,,
AC055717.1,1,TMEM132D,,keep as is,,
AC055717.2,1,LINC02418,,keep as is,,
AC055720.2,1,ITPR2,,Delete,,Overlaps with protein coding gene's exons
AC055811.3,1,FLCN,,keep as is,,
AC055839.2,1,NLRP1,,Delete,,Overlaps with protein coding gene's exons
AC060234.3,1,LRRC18,,keep as is,,
AC060780.1,1,BRCA1,,keep as is,,
AC061975.7,1,AC061975.8,,keep as is,,
AC061975.8,1,AC061975.7,,keep as is,,
AC062037.3,1,SH2D6,,keep as is,,
AC063926.1,1,RIMBP2,,keep as is,,
AC063944.3,1,DUBR,,keep as is,,
AC063965.2,1,PTEN,,keep as is,,
AC064799.2,1,THSD4,,keep as is,,
AC064829.1,1,TTTY19,,readthrough tr. deleted,AC064829.1-202,
AC064852.1,1,KCNJ13,,Delete,,Overlaps with protein coding gene's exons
AC064853.1,1,C2orf83,,keep as is,,
AC064869.1,1,LINC01885,,keep as is,,
AC066585.1,1,GRM7,,keep as is,,
AC066613.1,1,AC066613.2,,keep as is,,
AC066613.2,1,AC066613.1,,keep as is,,
AC067747.1,1,TRDMT1,,Delete,,Overlaps with protein coding gene's exons
AC067752.1,1,ZNF365,,keep as is,,
AC067817.1,1,TACC1,,keep as is,,
AC067852.3,1,ATP6V0A1,,keep as is,,
AC067956.1,1,AC019211.1,,keep as is,,
AC068020.1,1,FAM85B,,keep as is,,
AC068025.2,1,TAOK1,,keep as is,,
AC068058.1,1,CPXM2,,keep as is,,
AC068189.1,1,MIR3150BHG,,keep as is,,
AC068286.1,1,AC068286.2,,keep as is,,
AC068286.2,1,AC068286.1,,keep as is,,
AC068418.2,1,LINC02693,,keep as is,,
AC068473.1,1,AC068473.5,,keep as is,,
AC068473.5,1,AC068473.1,,keep as is,,
AC068491.3,1,MIR4435-2HG,,keep as is,,
AC068580.1,1,CTSD,,keep as is,,
AC068594.1,1,SEPTIN9-DT,,keep as is,,
AC068672.2,1,AC068672.3,,keep as is,,
AC068672.3,1,AC068672.2,,keep as is,,
AC068724.1,1,AC068724.3,,keep as is,,
AC068724.3,1,AC068724.1,,keep as is,,
AC068726.1,1,TEX9,,keep as is,,
AC068790.2,1,CCDC92,,keep as is,,
AC068790.3,1,CCDC92,,keep as is,,
AC068790.4,1,CCDC92,,keep as is,,
AC068790.5,1,CCDC92,,keep as is,,
AC068790.6,1,CCDC92,,keep as is,,
AC068790.7,1,CCDC92,,keep as is,,
AC068790.9,1,RFLNA,,keep as is,,
AC068792.1,1,DENND5B,,keep as is,,
AC068831.6,1,VPS33B-DT,,keep as is,,
AC068880.2,1,AC100849.1,,keep as is,,
AC068888.2,1,EIF4B,,keep as is,,
AC068898.2,1,ARHGAP22,,keep as is,,
AC068987.2,1,AC068987.3,,keep as is,,
AC068987.3,1,AC068987.2,,keep as is,,
AC069079.1,1,PRKG1,,keep as is,,
